,시도,신고량,면적(㎢),면적당 신고량
0,경기도,784149,3385441488.0,232.0
1,서울특별시,280321,605680264.0,463.0
2,인천광역시,220526,529699653.0,416.0
3,부산광역시,207471,940825971.0,221.0
4,경상남도,173208,2007710621.0,86.0
5,대구광역시,170269,799509757.0,213.0
6,대전광역시,156038,496123890.0,315.0
7,광주광역시,132823,479978979.0,277.0
8,충청북도,111414,737094363.0,151.0
9,충청남도,110656,912069919.0,121.0
10,경상북도,108754,1879078335.0,58.0
11,전라남도,101542,1720423117.0,59.0
12,울산광역시,87194,764204857.0,114.0
13,전라북도,78731,885638790.0,89.0
14,강원도,55884,1030004376.0,54.0
15,제주특별자치도,40247,469737358.0,86.0
16,세종특별자치시,18483,143324836.0,129.0
